,Original Image,Gabor1,Gabor2,Gabor3,Gabor4,Gabor5,Gabor6,Gabor7,Gabor8,Gabor9,Gabor10,Gabor11,Gabor12,Gabor13,Gabor14,Gabor15,Gabor16,Gabor17,Gabor18,Gabor19,Gabor20,Gabor21,Gabor22,Gabor23,Gabor24,Gabor25,Gabor26,Gabor27,Gabor28,Gabor29,Gabor30,Gabor31,Gabor32
0,113,0,0,255,255,191,103,77,42,0,0,255,255,0,0,0,0,0,0,255,255,74,1,236,41,0,0,255,255,57,30,109,66
1,112,0,0,255,255,191,104,77,42,0,0,255,255,0,0,0,0,0,0,255,255,72,1,232,41,0,0,255,255,57,30,100,60
2,111,0,0,255,255,192,105,78,42,0,0,255,255,0,0,0,0,0,0,255,255,71,1,231,41,0,0,255,255,56,29,94,55
3,118,0,0,255,255,195,107,79,43,0,0,255,255,0,0,0,0,0,0,255,255,71,1,234,43,0,0,255,255,55,29,102,61
4,122,0,0,255,255,199,109,80,44,0,0,255,255,0,0,0,0,0,0,255,255,75,1,239,44,0,0,255,255,59,31,106,64
5,121,0,0,255,255,201,111,81,45,0,0,255,255,0,0,0,0,0,0,255,255,70,1,238,45,0,0,255,255,54,28,98,58
6,124,0,0,255,255,205,113,83,46,0,0,255,255,0,0,0,0,0,0,255,255,74,1,242,45,0,0,255,255,60,32,97,57
7,125,0,0,255,255,208,115,84,46,0,0,255,255,0,0,0,0,0,0,255,255,72,1,249,46,0,0,255,255,54,28,107,65
8,132,0,0,255,255,213,116,86,47,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,47,0,0,255,255,67,36,112,67
9,125,0,0,255,255,215,118,87,48,0,0,255,255,0,0,0,0,0,0,255,255,74,1,255,47,0,0,255,255,54,28,109,65
10,134,0,0,255,255,219,120,89,49,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,48,0,0,255,255,68,37,106,62
11,130,0,0,255,255,220,122,89,49,0,0,255,255,0,0,0,0,0,0,255,255,69,1,255,49,0,0,255,255,49,25,107,64
12,143,0,0,255,255,218,123,88,50,0,0,255,255,0,0,0,0,0,0,255,255,76,1,251,51,0,0,255,255,65,35,97,58
13,135,0,0,255,255,216,122,87,49,0,0,255,255,0,0,0,0,0,0,255,255,71,1,249,52,0,0,255,255,52,26,102,61
14,143,0,0,255,255,214,120,87,48,0,0,255,255,0,0,0,0,0,0,255,255,77,1,251,50,0,0,255,255,63,34,108,66
15,124,0,0,255,255,214,117,86,47,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,47,0,0,255,255,58,30,111,66
16,118,0,0,255,255,215,114,87,46,0,0,255,255,0,0,0,0,0,0,255,255,86,1,255,43,0,0,255,255,69,36,114,67
17,117,0,0,255,255,214,113,87,46,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,42,0,0,255,255,61,32,119,72
18,118,0,0,255,255,217,114,88,46,0,0,255,255,0,0,0,0,0,0,255,255,93,1,255,44,0,0,255,255,74,39,124,73
19,131,0,0,255,255,217,118,88,48,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,47,0,0,255,255,62,33,120,73
20,136,0,0,255,255,221,122,89,50,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,50,0,0,255,255,61,32,107,64
21,139,0,0,255,255,225,126,91,51,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,52,0,0,255,255,61,32,101,59
22,151,0,0,255,255,231,129,93,52,0,0,255,255,0,0,0,0,0,0,255,255,77,1,255,54,0,0,255,255,61,32,113,69
23,146,0,0,255,255,234,131,95,53,0,0,255,255,0,0,0,0,0,0,255,255,76,1,255,54,0,0,255,255,58,30,112,67
24,143,0,0,255,255,236,131,95,53,0,0,255,255,0,0,0,0,0,0,255,255,86,1,255,53,0,0,255,255,71,38,106,61
25,142,0,0,255,255,236,130,95,53,0,0,255,255,0,0,0,0,0,0,255,255,77,1,255,52,0,0,255,255,57,29,120,73
26,145,0,0,255,255,233,128,94,52,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,52,0,0,255,255,65,35,114,68
27,134,0,0,255,255,229,126,93,51,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,51,0,0,255,255,66,35,108,62
28,144,0,0,255,255,226,124,91,50,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,51,0,0,255,255,64,34,121,74
29,135,0,0,255,255,223,122,90,49,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,49,0,0,255,255,62,32,119,72
30,123,0,0,255,255,221,120,89,49,0,0,255,255,0,0,0,0,0,0,255,255,84,1,255,47,0,0,255,255,67,35,104,59
31,130,0,0,255,255,217,118,88,48,0,0,255,255,0,0,0,0,0,0,255,255,74,1,255,47,0,0,255,255,57,30,109,66
32,129,0,0,255,255,214,117,87,47,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,47,0,0,255,255,61,32,115,69
33,130,0,0,255,255,210,116,85,47,0,0,255,255,0,0,0,0,0,0,255,255,80,1,251,48,0,0,255,255,65,34,107,63
34,128,0,0,255,255,209,115,85,47,0,0,255,255,0,0,0,0,0,0,255,255,75,1,251,47,0,0,255,255,58,31,109,66
35,123,0,0,255,255,212,114,86,46,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,45,0,0,255,255,63,33,112,67
36,120,0,0,255,255,211,114,85,46,0,0,255,255,0,0,0,0,0,0,255,255,74,1,254,44,0,0,255,255,57,30,105,62
37,123,0,0,255,255,210,115,85,46,0,0,255,255,0,0,0,0,0,0,255,255,76,1,250,45,0,0,255,255,60,32,101,59
38,130,0,0,255,255,210,116,85,47,0,0,255,255,0,0,0,0,0,0,255,255,80,1,253,48,0,0,255,255,63,33,113,68
39,136,0,0,255,255,211,117,85,47,0,0,255,255,0,0,0,0,0,0,255,255,76,1,252,48,0,0,255,255,59,31,116,72
40,126,0,0,255,255,212,117,86,47,0,0,255,255,0,0,0,0,0,0,255,255,74,1,250,47,0,0,255,255,58,31,99,58
41,123,0,0,255,255,214,117,87,48,0,0,255,255,0,0,0,0,0,0,255,255,75,1,253,46,0,0,255,255,60,31,97,56
42,132,0,0,255,255,216,118,87,48,0,0,255,255,0,0,0,0,0,0,255,255,77,1,255,47,0,0,255,255,60,31,117,71
43,132,0,0,255,255,217,119,88,48,0,0,255,255,0,0,0,0,0,0,255,255,84,1,255,48,0,0,255,255,65,34,119,72
44,130,0,0,255,255,214,119,87,48,0,0,255,255,0,0,0,0,0,0,255,255,69,1,248,48,0,0,255,255,54,28,97,57
45,131,0,0,255,255,212,119,86,48,0,0,255,255,0,0,0,0,0,0,255,255,71,1,243,48,0,0,255,255,57,30,89,51
46,133,0,0,255,255,211,118,85,48,0,0,255,255,0,0,0,0,0,0,255,255,75,1,249,49,0,0,255,255,57,30,109,66
47,137,0,0,255,255,209,115,85,47,0,0,255,255,0,0,0,0,0,0,255,255,77,1,251,48,0,0,255,255,62,33,116,72
48,116,0,0,255,255,208,113,84,46,0,0,255,255,0,0,0,0,0,0,255,255,78,1,252,44,0,0,255,255,60,31,103,60
49,115,0,0,255,255,208,111,84,45,0,0,255,255,0,0,0,0,0,0,255,255,78,1,254,42,0,0,255,255,63,33,103,60
50,118,0,0,255,255,207,111,84,45,0,0,255,255,0,0,0,0,0,0,255,255,73,1,253,43,0,0,255,255,54,28,113,69
51,123,0,0,255,255,205,112,83,45,0,0,255,255,0,0,0,0,0,0,255,255,83,1,249,45,0,0,255,255,67,35,108,64
52,128,0,0,255,255,203,113,82,46,0,0,255,255,0,0,0,0,0,0,255,255,72,1,239,47,0,0,255,255,56,29,104,63
53,130,0,0,255,255,205,114,83,46,0,0,255,255,0,0,0,0,0,0,255,255,74,1,243,47,0,0,255,255,59,31,104,63
54,122,0,0,255,255,209,114,85,46,0,0,255,255,0,0,0,0,0,0,255,255,75,1,250,46,0,0,255,255,58,30,103,61
55,124,0,0,255,255,212,115,86,47,0,0,255,255,0,0,0,0,0,0,255,255,75,1,254,45,0,0,255,255,60,32,105,63
56,124,0,0,255,255,209,115,85,47,0,0,255,255,0,0,0,0,0,0,255,255,66,1,246,46,0,0,255,255,49,26,98,59
57,130,0,0,255,255,206,115,83,47,0,0,255,255,0,0,0,0,0,0,255,255,74,1,237,48,0,0,255,255,60,32,91,53
58,134,0,0,255,255,202,114,82,46,0,0,255,255,0,0,0,0,0,0,255,255,70,1,235,49,0,0,255,255,53,27,104,64
59,133,0,0,255,255,201,112,81,45,0,0,255,255,0,0,0,0,0,0,255,255,73,1,238,47,0,0,255,255,58,31,108,66
60,110,0,0,255,255,200,109,81,44,0,0,255,255,0,0,0,0,0,0,255,255,73,1,241,42,0,0,255,255,56,29,96,55
61,108,0,0,255,255,200,106,81,43,0,0,255,255,0,0,0,0,0,0,255,255,74,1,245,39,0,0,255,255,59,31,99,58
62,111,0,0,255,255,198,105,80,43,0,0,255,255,0,0,0,0,0,0,255,255,75,1,247,40,0,0,255,255,56,29,113,69
63,117,0,0,255,255,196,106,79,43,0,0,255,255,0,0,0,0,0,0,255,255,80,1,241,43,0,0,255,255,64,34,109,66
64,121,0,0,255,255,196,107,79,43,0,0,255,255,0,0,0,0,0,0,255,255,75,1,235,44,0,0,255,255,59,31,104,62
65,121,0,0,255,255,199,109,81,44,0,0,255,255,0,0,0,0,0,0,255,255,70,1,237,44,0,0,255,255,53,28,102,61
66,120,0,0,255,255,203,111,82,45,0,0,255,255,0,0,0,0,0,0,255,255,72,1,241,44,0,0,255,255,58,31,95,56
